peak_caller_a,peak_caller_b,intersection,union,jaccard,n_intersections
fseq,fseq,53500963,53500963,1,72974
genrich,genrich,21252228,21252228,1,48924
hmmratac,hmmratac,59554690,59554690,1,34576
homer,homer,26263635,26263635,1,103170
macs2_variable,macs2_variable,48264129,48264129,1,56644
macs2_fixed,macs2_fixed,30571971,30571971,1,59103
genrich,fseq,21191663,53561528,0.395651,48917
hmmratac,fseq,32505187,80550466,0.403538,37180
homer,fseq,21465577,58299021,0.368198,77005
macs2_variable,fseq,42798252,58966840,0.725802,56914
macs2_fixed,fseq,28433545,55639389,0.511033,58750
hmmratac,genrich,16697911,64109007,0.260461,36159
homer,genrich,14687304,32828559,0.447394,50496
macs2_variable,genrich,20879252,48637105,0.429287,47923
macs2_fixed,genrich,15314766,36509433,0.419474,47101
homer,hmmratac,13544786,72273539,0.18741,42406
macs2_variable,hmmratac,33596839,74221980,0.452653,36041
macs2_fixed,hmmratac,19014613,71112048,0.267389,37254
macs2_variable,homer,18508021,56019743,0.330384,63000
macs2_variable,macs2_fixed,28137016,50699084,0.554981,58618
macs2_fixed,homer,14950127,41885479,0.356929,59737
