peak_caller_a,peak_caller_b,intersection,union,jaccard,n_intersections
fseq,fseq,75036389,75036389,1,485045
genrich,genrich,18199265,18199265,1,36373
hmmratac,hmmratac,65911240,65911240,1,44532
homer,homer,25614538,25614538,1,91321
macs2_fixed,macs2_fixed,115918652,115918652,1,337114
macs2_variable,macs2_variable,115771054,115771054,1,336681
macs2_variable,macs2_fixed,115769915,115919791,0.998707,336680
macs2_variable,fseq,70348312,120459131,0.584001,411825
macs2_fixed,fseq,70368729,120586312,0.583555,412163
homer,genrich,14081258,29732545,0.473597,37939
homer,fseq,25607166,75043761,0.34123,91340
hmmratac,fseq,34433826,106513803,0.32328,74636
macs2_variable,hmmratac,37887214,143795080,0.263481,56808
macs2_fixed,hmmratac,37898771,143931121,0.263312,56810
hmmratac,genrich,16821771,67288734,0.249994,33245
genrich,fseq,18196512,75039142,0.242494,36383
homer,hmmratac,17603554,73922224,0.238136,50962
macs2_variable,homer,25603087,115782505,0.221131,91330
macs2_fixed,homer,25603133,115930057,0.22085,91330
macs2_variable,genrich,18199265,115771054,0.1572,36373
macs2_fixed,genrich,18199265,115918652,0.157,36373
